Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Crop,Response
10,56,16,28.17432665,81.04554836,6.828187499,36.35720652,MungBean,
22,56,17,29.87888063,87.32761241,6.89077995,44.75215854,MungBean,
9,57,24,29.89232778,89.71503316,7.165121109,42.99498978,MungBean,
34,59,23,28.56212158,83.24855855,6.935804256,56.48265193,MungBean,
31,51,25,27.53592929,85.5701901,7.196774236,53.01899249,MungBean,
0,49,18,29.68361658,87.93598094,6.990095452,41.82490236,MungBean,
21,39,20,28.14448546,82.1193047,7.064782138,46.75690086,MungBean,
28,35,22,29.53037621,86.73346018,7.156563094,59.87232071,MungBean,"Based on the given environmental conditions (Nitrogen level: 12.0, Phosphorus level: 39.0, Potassium level: 21.0, Temperature: 27.6°C, Humidity: 62.5%, pH value: 8.18, and Rainfall: 70.47 mm), the following crops are recommended:

Grains:

Rice
Legumes:

MothBeans
MungBean
Blackgram
PigeonPeas
Fibers:

Cotton
Explanation:

Rice: The given conditions, particularly the temperature and humidity levels, are suitable for rice cultivation.

MothBeans: The high pH value (8.18) and moderate rainfall (70.47 mm) align with the requirements for growing MothBeans.

MungBean: MungBean can thrive in the given temperature and humidity ranges, and the rainfall amount is within the acceptable range.

Blackgram: Blackgram is a drought-tolerant crop that can grow well in the provided environmental conditions, especially the temperature and rainfall levels.

PigeonPeas: PigeonPeas can tolerate high temperatures and moderate rainfall, making the given conditions suitable for their cultivation.

Cotton: Cotton is a fiber crop that can be grown in the specified temperature and humidity ranges, and the rainfall amount is within the acceptable limits.

It's important to note that while these crops are recommended based on the provided environmental conditions, other factors such as soil quality, irrigation facilities, and local agricultural practices should also be considered for successful cultivation."
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,MungBean,
24,42,23,28.22471276,82.35916228,6.428054409,44.01206619,MungBean,
28,46,16,29.008124,84.96089355,6.664187809,45.91011391,MungBean,
21,38,21,29.75538903,86.45193297,6.637677489,37.54602719,MungBean,
34,60,25,29.78416743,85.16906976,6.79385576,40.77872823,MungBean,
19,53,22,27.8640132,80.4513142,6.852884643,42.83053902,MungBean,
31,58,15,27.11026483,84.96771717,7.121571293,51.52617423,MungBean,
19,35,24,27.11030369,83.64274107,6.883308033,49.11964582,MungBean,
24,53,17,28.95451232,89.07866095,6.421271178,57.65901369,MungBean,
13,47,20,29.21780035,87.93724219,6.54450214,43.1386631,MungBean,
31,53,16,28.7420098,85.81675947,6.452006451,48.54598575,MungBean,
28,45,23,29.65021184,80.29868321,6.489259136,56.76278363,MungBean,
31,37,21,27.23924995,86.404241,6.713410626,37.31236904,MungBean,
33,60,15,28.95172351,81.67085323,6.510840928,56.51103293,MungBean,
34,45,21,28.18837136,82.60629652,6.287380117,37.01110438,MungBean,
13,57,25,28.30041493,86.20681554,6.86308576,50.47333854,MungBean,
33,57,17,27.89636126,88.71782287,6.78415271,57.79863368,MungBean,
32,57,22,28.6899851,87.50436797,6.769415888,44.56598352,MungBean,
23,59,25,27.8262623,88.73100226,6.320768488,56.68833819,MungBean,
35,41,18,28.70562673,81.59200689,6.705008504,59.87065439,MungBean,
6,48,24,28.6362812,84.61431076,6.790736339,48.48319335,MungBean,
29,36,25,28.28511547,88.4393979,7.130278657,48.56690235,MungBean,
4,36,22,27.60887393,86.13316408,7.012740397,43.80041104,MungBean,
10,59,22,28.60901145,86.99495766,7.155685016,36.94616965,MungBean,
14,48,21,29.24598976,84.80084105,6.991242362,53.43228915,MungBean,
8,50,21,28.62911222,89.1148059,6.218923893,50.49913241,MungBean,
20,40,15,29.57329479,88.07505524,7.199495368,45.04467075,MungBean,
36,43,22,27.82684262,87.16679147,6.389882166,58.37249772,MungBean,
14,57,15,29.8757015,83.14796296,6.623438282,40.12044158,MungBean,
11,60,23,27.33684386,88.50229102,7.033012777,51.09802625,MungBean,
10,59,15,29.83040388,89.30428305,6.32400451,58.86687093,MungBean,
7,60,25,28.2753171,82.76020821,6.397636709,56.04995423,MungBean,
2,47,15,29.86860065,85.99127934,6.401455706,58.41394143,MungBean,
20,45,22,29.5888162,89.9939693,6.904587016,54.96121262,MungBean,
2,39,15,28.07219563,82.9116472,6.478557136,49.61865305,MungBean,
27,40,24,27.84026517,89.99615558,7.063022095,52.84626009,MungBean,
35,48,15,27.10818093,87.4512669,6.981758362,55.03723979,MungBean,
4,59,25,27.68515114,81.94268594,6.227134139,54.62243308,MungBean,
1,48,24,29.34594634,85.60472562,6.232836962,59.03629954,MungBean,
36,43,21,28.36319404,84.8593608,7.140437859,52.93031105,MungBean,
11,46,24,27.65280218,89.80650642,6.459252023,56.52558045,MungBean,
34,47,19,27.31372793,85.44815232,6.568795404,53.15223123,MungBean,
21,44,18,27.06909959,86.89934108,7.12851089,50.46746116,MungBean,
17,58,20,28.06642822,85.91625451,6.42937879,39.23831035,MungBean,
25,40,21,27.73329078,81.13903037,6.248900919,44.17580911,MungBean,
2,38,18,27.53632932,89.92908171,6.619891498,45.48591922,MungBean,
9,48,20,29.66461594,84.28187572,6.377568542,56.09542002,MungBean,
37,49,25,29.9145443,85.85384444,6.415459592,41.39081525,MungBean,
36,38,15,28.36363858,87.59810657,6.320662012,57.99524359,MungBean,
40,58,15,29.46416042,87.60890009,6.978400282,43.15411472,MungBean,
30,44,16,29.73013036,82.89166381,6.442335593,50.91511275,MungBean,
1,59,23,27.46852989,87.17649,7.184398832,43.78420984,MungBean,
9,48,22,27.77076285,87.09979549,6.402926221,49.50812624,MungBean,
14,41,17,29.12939524,88.48312598,7.085982325,36.45012824,MungBean,
35,52,19,27.10606808,89.89593328,6.698574085,37.45680611,MungBean,
31,48,17,28.88078945,86.94206817,6.594739424,53.79732545,MungBean,
4,41,20,28.14720892,83.8001509,6.647965508,37.44800463,MungBean,
30,37,25,29.89129144,80.14487166,7.120032489,54.7960127,MungBean,"Based on the given environmental conditions of Nitrogen level 30.0, Phosphorus level 37.0, Potassium level 25.0, Temperature 29.93°C, Humidity 80.14%, pH value 7.12, and Rainfall 54.79 mm, the recommended crops are:

Grains:

Rice (suitable for the given temperature, humidity, and pH range)
Legumes:

MungBean (suitable for the given temperature, humidity, pH, and rainfall range)
Blackgram (suitable for the given temperature, humidity, and rainfall range)
Fibers:

Jute (suitable for the given nitrogen, phosphorus, potassium, temperature, humidity, and rainfall range)
The environmental conditions provided are suitable for cultivating these crops. MungBean and Blackgram are leguminous crops that can thrive in the given temperature, humidity, and rainfall range. Jute is a fiber crop that can grow well in the specified nutrient levels, temperature, humidity, and rainfall conditions. Rice, being a grain crop, can also be cultivated in the given pH range and moderate temperature and humidity levels.

It's important to note that while these crops are recommended based on the provided parameters, other factors such as soil type, irrigation practices, and local climate patterns should also be considered for successful cultivation."
9,35,20,27.41503453,80.98004661,6.91380932,40.53173216,MungBean,
20,41,20,29.27308605,89.4875022,7.073048264,50.9246554,MungBean,
37,50,23,29.65296893,88.48587386,6.5304707,56.01913159,MungBean,
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,MungBean,
14,37,15,27.96235681,83.97586797,6.581351374,48.9366954,MungBean,
23,39,22,29.25649321,81.97952224,6.86483915,42.02483277,MungBean,
5,45,21,28.36291385,88.00989267,6.487124217,43.05130077,MungBean,
22,37,20,27.62749466,86.49366929,6.605733068,39.26137642,MungBean,
40,51,17,28.66086349,86.12194568,6.860602782,50.01534317,MungBean,
27,56,20,29.2114218,87.11497805,6.41874299,51.53848218,MungBean,
31,40,22,29.40889385,86.16063492,6.365513634,53.35486977,MungBean,
38,36,21,28.02952623,84.8845732,6.556372966,36.12042927,MungBean,
6,37,17,28.08657178,80.35005927,6.760694228,38.14476781,MungBean,
6,47,18,29.16174608,80.28038146,6.715276663,40.16545979,MungBean,
24,44,17,29.8596912,80.03499648,6.666380512,50.66487502,MungBean,
25,59,19,29.06631494,83.6869203,6.626629798,43.95183726,MungBean,
32,56,21,27.38538997,88.66663953,6.702772465,58.29933073,MungBean,
8,45,18,27.93034941,85.42058715,7.011030515,43.25095608,MungBean,
19,39,17,29.2808618,81.8009244,6.890156495,44.47427436,MungBean,
39,37,15,28.9973145,83.78911515,6.821747052,59.84499208,MungBean,
33,37,19,27.92678579,86.5543196,7.183189922,43.4826194,MungBean,
26,54,17,28.5474135,88.9570454,6.27258822,49.4897245,MungBean,
21,51,15,29.36488409,89.1886954,6.679127482,48.30159325,MungBean,
22,54,20,28.56149805,83.63802195,6.689825155,41.013132,MungBean,
29,45,16,28.43683487,87.91332682,6.583381939,43.12063289,MungBean,
4,40,21,28.79728147,80.45744422,6.725551062,44.30070517,MungBean,
10,37,22,28.7275267,89.12760359,7.069747814,58.52974279,MungBean,
4,44,19,27.95639663,83.52706038,6.921993878,43.25726752,MungBean,
20,45,17,28.17458662,83.69659318,6.770955317,37.2464655,MungBean,
23,45,23,28.77653519,86.69133979,6.983130466,56.12443206,MungBean,
25,48,21,28.438097,83.48991368,6.267684328,52.55469976,MungBean,
56,79,15,29.48439992,63.19915325,7.454532137,71.89090748,Blackgram,
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,Blackgram,
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,Blackgram,
42,73,25,34.03679184,67.21113844,6.501869314,73.23573601,Blackgram,
44,58,18,28.03644051,65.06601664,6.814410928,72.49507741,Blackgram,
50,55,16,28.81460716,65.33538112,7.581442888,62.26242533,Blackgram,
35,72,21,34.03619494,64.28791388,7.741418772,66.85510868,Blackgram,
30,64,20,33.8642935,61.57072498,6.573531614,68.02199825,Blackgram,
27,64,21,32.84213012,68.68401492,7.543804223,73.67166182,Blackgram,
50,74,17,27.10053268,63.36085585,6.5408208,73.84949872,Blackgram,
39,73,24,25.65842532,61.18235808,7.22405917,69.28607828,Blackgram,
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,Blackgram,
52,63,19,29.58949031,68.32176769,6.928898659,67.53021213,Blackgram,
55,66,22,30.91219459,68.79427388,7.747775263,66.63830637,Blackgram,
51,56,18,28.12787838,64.2097765,6.706505915,70.86340755,Blackgram,
36,66,15,30.08545364,69.34811988,6.668238556,67.1367443,Blackgram,
59,55,19,31.74379487,62.51007687,7.332375138,68.97097538,Blackgram,
50,58,23,27.81326852,62.50460464,7.596802025,69.75555541,Blackgram,
30,65,25,32.88733849,64.59457409,7.70650895,71.50569456,Blackgram,
20,62,18,29.36358721,64.98742947,7.366542647,61.91208707,Blackgram,"Based on the given environmental conditions: Nitrogen level: 20.0 Phosphorus level: 62.0 Potassium level: 18.0 Temperature: 29.36°C Humidity: 64.98% pH value: 7.36 Rainfall: 61.91 mm

The recommended crops are:

Blackgram (Legume) The provided conditions closely match the ideal requirements for growing Blackgram. The temperature, humidity, and rainfall levels are suitable for this crop.

MungBean (Legume) MungBean is another legume crop that can thrive under the given environmental conditions, particularly the temperature and humidity ranges.

Maize (Grain) The temperature and rainfall levels are favorable for cultivating Maize, a widely grown grain crop.

These recommendations cover a diverse range of crops from the legume and grain categories, ensuring a balanced selection suitable for the specified environmental parameters. It's important to note that while these crops are well-suited to the provided conditions, other factors such as soil quality, irrigation practices, and pest management should also be considered for successful cultivation."
58,71,15,27.82592799,67.5861883,6.919243702,74.01229707,Blackgram,
25,71,24,28.49538735,60.44848407,7.187721818,74.91559514,Blackgram,
52,71,16,27.74274761,68.53997144,7.075886472,71.78615328,Blackgram,
40,63,18,30.41588462,67.66323804,6.74441168,63.02473185,Blackgram,
20,60,25,27.3254209,69.09047809,6.726469088,61.19250859,Blackgram,
48,61,21,30.28496619,61.69295127,6.628264883,65.62859526,Blackgram,
49,68,22,28.56840626,61.53278622,7.127064207,63.49726331,Blackgram,
48,62,15,25.36586097,66.6379724,7.538631462,65.81655892,Blackgram,
32,66,17,34.9466155,65.26774011,7.162357641,70.1415139,Blackgram,
21,63,22,25.09737391,67.72837887,6.859409487,74.61649888,Blackgram,
20,72,19,32.47648301,64.34848735,7.397190844,65.820457,Blackgram,
25,65,21,33.86351172,68.59232289,6.880245789,69.24464096,Blackgram,
41,78,21,25.19857725,60.37332688,6.581313137,70.88787207,Blackgram,
53,67,17,31.77681682,69.01852894,7.296972161,61.46892873,Blackgram,
39,60,21,34.89814946,63.59948557,6.97297656,64.72797143,Blackgram,
25,76,17,31.74105409,68.63525428,7.241148507,62.3061735,Blackgram,
21,78,19,27.16159076,66.76017239,6.92009048,69.85112265,Blackgram,
57,60,17,26.23773129,67.88521396,7.504608385,73.58663968,Blackgram,
56,75,15,30.20157245,60.06534859,7.152272256,66.37171179,Blackgram,
49,72,15,31.55846339,67.83563765,7.137004749,74.86960831,Blackgram,
24,80,19,29.67892453,69.0854554,6.808041722,65.66436565,Blackgram,
49,76,18,27.05365239,67.7017527,7.393631868,60.4693835,Blackgram,
28,68,19,34.63880966,61.38597868,7.69950698,72.43169115,Blackgram,
55,78,21,33.39438752,62.93692886,6.602888249,63.57445989,Blackgram,
50,64,25,28.84079155,63.37230676,6.734447425,70.25496749,Blackgram,
34,80,19,31.49338309,63.0563645,6.521217963,71.48327008,Blackgram,
20,68,23,25.54960633,63.95425534,7.707332484,63.1830529,Blackgram,
55,67,16,34.37329112,69.69366426,6.596719015,70.27184748,Blackgram,
23,70,15,34.6008247,63.11296779,7.403623355,60.41790253,Blackgram,
53,74,15,29.43463808,64.94329356,7.517097,72.17818157,Blackgram,
26,67,16,29.10713092,67.90577375,7.17620823,67.83345933,Blackgram,
33,80,22,28.57006111,65.71765781,6.593961761,70.0866434,Blackgram,
37,79,19,27.54384835,69.3478631,7.143942758,69.40878198,Blackgram,
33,75,21,33.04687968,68.93875631,6.690655045,62.30278274,Blackgram,
22,55,20,33.95309131,69.96100028,7.423530351,61.16350463,Blackgram,
20,68,17,30.11873003,60.11680815,6.578714843,71.72980375,Blackgram,
43,68,20,29.57812712,66.17587668,7.497469256,69.43895491,Blackgram,
44,76,22,27.26458947,68.01232937,7.775306272,68.91754359,Blackgram,
34,60,16,31.35730791,64.24992106,7.322555223,63.85668948,Blackgram,
21,72,17,31.52104732,66.55723677,7.580527339,61.71111448,Blackgram,"Based on the given environmental conditions: Nitrogen level: 21.0 Phosphorus level: 72.0 Potassium level: 17.0 Temperature: 31.52°C Humidity: 66.55% pH value: 7.58 Rainfall: 61.71 mm

The recommended crops are:

Blackgram (Legume) The high temperature, moderate humidity, and slightly alkaline pH conditions are suitable for growing blackgram. The nitrogen, phosphorus, and potassium levels, along with the rainfall amount, align well with the requirements of this crop.

PigeonPeas (Legume) PigeonPeas can thrive in the given warm temperature, moderate humidity, and slightly alkaline pH conditions. The nutrient levels and rainfall are also within the acceptable range for this crop.

Cotton (Fiber) Cotton is a fiber crop that can tolerate the provided environmental conditions, including the high temperature, moderate humidity, and slightly alkaline pH. The nutrient levels and rainfall are suitable for cotton cultivation.

These recommendations cover a diverse range of crops, including legumes (blackgram and pigeonpeas) and a fiber crop (cotton). The given environmental conditions are favorable for the growth and production of these crops.

"
25,68,19,29.39982732,64.25510719,7.108450121,67.47677295,Blackgram,
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,Blackgram,
28,65,23,28.38686534,61.88871127,7.405176138,74.24459122,Blackgram,
35,64,15,28.47442276,63.53604453,6.500144962,69.5274407,Blackgram,
52,58,16,30.64095781,61.14508627,7.167435834,71.36947525,Blackgram,
58,75,25,25.25596239,61.36669662,7.261791753,68.64685069,Blackgram,
34,66,19,32.97030511,60.18122078,7.586642101,73.44678678,Blackgram,
52,70,16,33.66855394,66.60416867,7.534811833,67.32520551,Blackgram,
23,57,19,32.83963757,67.99803573,7.251000789,73.40452716,Blackgram,
42,58,25,27.45853567,62.90020977,6.513620918,69.46020927,Blackgram,
37,62,17,25.68576704,69.84354028,7.121254928,74.62068748,Blackgram,
44,75,22,30.0328403,64.14800537,7.574561547,71.21006868,Blackgram,
21,80,20,28.20667264,68.27085245,7.350869792,64.32887142,Blackgram,
56,76,16,28.27265858,61.18956161,7.513151076,63.29900785,Blackgram,
29,76,15,28.5417236,64.2020154,7.025607706,69.68862306,Blackgram,
43,61,20,26.87187036,61.61367264,6.804253866,63.51822045,Blackgram,
55,60,15,32.79766751,68.77994074,7.163043872,64.11411069,Blackgram,
44,63,15,26.42333018,64.51136845,7.338929556,63.46546487,Blackgram,
29,67,21,29.79181107,63.38789228,6.621323612,63.02169909,Blackgram,
47,63,16,27.44003279,67.10464369,6.661870999,72.50669768,Blackgram,
40,68,17,34.1262979,65.14877461,7.733149554,70.40795007,Blackgram,
58,61,15,30.94908189,64.23364112,7.402891666,62.78730907,Blackgram,
41,74,18,28.75751783,61.02701476,6.599147298,73.37686831,Blackgram,
58,79,17,27.24766491,66.10123083,7.04174124,62.31842057,Blackgram,
27,62,24,28.63005477,66.770943,7.353876754,62.2737345,Blackgram,
27,60,17,26.41768321,63.64698302,7.026795359,64.42177127,Blackgram,
52,65,20,32.81705216,66.15665137,6.814301033,68.83924882,Blackgram,
44,55,25,29.6321052,65.91359954,7.42160832,71.16331975,Blackgram,
21,62,24,33.49077065,62.73317204,6.847382891,65.45328463,Blackgram,
60,59,22,31.86847286,66.74217464,7.191522601,74.22238583,Blackgram,
33,77,21,30.32992227,65.62971858,7.01285529,71.64631281,Blackgram,
59,58,17,28.546224,66.31394098,7.368318809,62.83469851,Blackgram,
29,63,17,30.02629908,67.88811637,7.26154329,66.47264636,Blackgram,
59,63,18,31.65531175,60.13263713,6.52669158,66.69096751,Blackgram,
29,70,15,30.33499674,63.54718862,6.872594461,74.16699119,Blackgram,
58,73,16,33.36984395,65.67718163,6.874142175,64.89517488,Blackgram,
55,77,22,31.4345059,62.99303471,7.76061831,64.77651469,Blackgram,
42,79,23,27.71678273,63.29103387,6.781841984,68.56507978,Blackgram,
44,77,21,32.63918668,61.3009051,7.326980454,61.83876146,Blackgram,
38,62,25,32.7477393,67.77954584,7.453975408,63.37784443,Blackgram,
32,76,15,28.05153602,63.49802189,7.604110177,43.35795377,Lentil,
13,61,22,19.44084326,63.27771461,7.728832424,46.83130119,Lentil,
38,60,20,29.84823072,60.63872613,7.491217102,46.80452595,Lentil,
11,74,17,21.36383757,69.92375891,6.633864582,46.6352865,Lentil,
37,71,16,26.28663931,68.51966729,7.324863481,46.13833007,Lentil,
29,71,18,22.17499963,62.13873825,6.410441476,53.46622584,Lentil,
2,72,18,26.57597546,60.97876599,7.836719564,50.89110726,Lentil,
6,59,21,26.58972517,66.14007674,6.139215944,50.90994463,Lentil,
13,64,20,19.1345771,62.57526895,6.590571088,36.46946971,Lentil,
8,58,17,28.75273118,69.15640149,7.286049978,35.15426171,Lentil,
6,77,20,25.78746268,60.2816298,6.058306161,49.14337177,Lentil,
2,75,22,23.89271875,61.78779413,6.658605362,52.55730112,Lentil,
3,69,23,28.67408774,63.18832976,7.299360767,42.96018627,Lentil,
27,80,24,28.42062847,61.77336343,7.815210661,49.02366803,Lentil,
39,78,15,21.35499456,62.60136323,5.925391795,41.78219834,Lentil,
40,79,17,21.12695586,63.18738532,6.403683619,38.71834464,Lentil,
37,62,22,24.02037872,61.62313345,7.397546271,49.78102578,Lentil,
31,60,24,25.40474421,65.8567539,7.722335992,51.92057267,Lentil,
22,67,22,29.03017561,64.49166566,7.475926645,54.9393771,Lentil,
3,78,18,20.21368219,68.65257685,6.887130053,50.89732989,Lentil,
4,80,16,29.19585548,68.01965728,7.441976825,44.93261911,Lentil,
13,61,24,18.29783597,69.6897615,7.629910253,49.39111479,Lentil,
12,66,20,27.41434987,63.41785982,7.336117221,44.43177543,Lentil,
4,61,21,24.84063998,60.09116626,6.75020529,48.77790371,Lentil,
9,60,21,29.94413861,67.31323084,7.52178027,40.37113729,Lentil,
18,66,22,25.87990287,67.55109024,6.347379185,47.89645224,Lentil,
32,56,18,20.0467711,65.84395319,7.135251532,46.05333124,Lentil,
6,72,15,22.99451999,66.70897237,7.670178119,54.49044154,Lentil,
15,77,20,25.13163619,66.92642362,7.399749291,49.04015558,Lentil,
0,65,24,28.49584395,62.44616219,7.841496029,53.14531023,Lentil,
30,79,22,18.28766124,69.48515056,6.254216611,48.60449438,Lentil,
3,63,16,24.38041875,61.18458224,6.868881708,53.13946695,Lentil,
2,78,23,21.31852148,66.43934593,7.320514721,45.42616802,Lentil,
10,78,18,18.54141834,62.70637578,6.296976913,44.07819743,Lentil,"Based on the given environmental conditions of Nitrogen level 10.0, Phosphorus level 78.0, Potassium level 18.0, Temperature 18.54°C, Humidity 62.7%, pH value 6.29, and Rainfall 44.07 mm, the recommended crops from the provided categories are:

Grains:

Maize: The temperature, humidity, and pH values are suitable for growing maize.
Legumes:

Lentil: The nitrogen, phosphorus, potassium levels, temperature, and pH value align well with the requirements for cultivating lentils.
KidneyBeans: The temperature, humidity, and pH conditions are favorable for growing kidney beans.
Fibers:

Cotton: The given environmental conditions, particularly the temperature and humidity, are appropriate for cotton cultivation.
The provided context does not contain sufficient information to recommend beverage crops like Coffee under the given conditions.

It's important to note that while these crops are recommended based on the given parameters, other factors such as soil quality, irrigation availability, and local agricultural practices should also be considered for successful cultivation."
14,67,25,25.28710601,60.85993533,7.241151936,49.37369982,Lentil,
39,65,23,25.43459777,69.12613376,7.685959305,41.02682925,Lentil,
19,72,15,28.83600962,69.76112921,6.890760124,44.08562546,Lentil,
18,57,21,27.37659643,63.93927841,6.155915975,49.47371773,Lentil,
31,58,15,28.31886863,60.19461399,6.167855382,45.36521251,Lentil,
28,58,25,27.4818649,62.04814951,6.861640036,37.81123974,Lentil,
5,65,19,18.28072173,68.10365387,6.978361689,48.80253285,Lentil,
16,65,19,27.61204997,69.29786244,7.043160241,42.72374404,Lentil,
34,65,19,23.43974653,63.22011726,5.94239222,45.40277297,Lentil,
14,69,19,20.95628486,63.68128841,7.239455147,52.39881209,Lentil,
22,55,16,23.7937153,68.03209183,6.516317561,49.73922097,Lentil,
24,61,17,22.6371424,65.44544859,6.233269045,38.30411077,Lentil,
2,79,15,21.53577883,65.47227704,7.505283615,35.75107592,Lentil,
26,63,17,29.87854588,65.73085206,6.950300686,44.95654782,Lentil,
27,61,15,25.2653291,67.10004577,6.958054839,48.33941188,Lentil,
24,70,16,25.17885316,68.93307305,6.54803469,35.03484812,Lentil,
13,74,25,24.12192608,61.09533545,6.461618577,44.23629285,Lentil,
6,64,23,23.33565221,67.40460704,7.065264073,36.18678721,Lentil,
12,58,23,21.74600081,63.39503184,6.765091462,50.43306085,Lentil,
32,79,22,27.60195453,63.46170674,5.91645379,54.37814199,Lentil,
6,68,18,24.388717,62.50453062,6.711341147,47.26052494,Lentil,
10,79,20,24.98287462,66.895409,6.379881442,38.21370568,Lentil,
38,77,22,28.234829,69.3159965,6.313284268,35.36831423,Lentil,
17,74,17,26.03026959,69.55863145,7.393210848,37.11395801,Lentil,
26,68,24,28.04849594,64.07691942,7.504930973,37.15824966,Lentil,
23,75,17,24.87425505,64.00213929,7.198076286,48.28137482,Lentil,
32,78,22,23.97081395,62.35557553,7.007037515,53.40906048,Lentil,
19,79,19,20.06003985,67.76252583,6.677262562,42.89509057,Lentil,
22,60,18,19.59221047,61.28633405,6.74398035,41.7704893,Lentil,
28,69,16,29.77013109,66.29327012,6.547361618,35.69674138,Lentil,
1,67,21,27.52135365,60.53657684,6.551577598,48.06491307,Lentil,
12,67,23,25.62896213,63.14909763,6.585020303,45.49683991,Lentil,
36,67,20,20.39078312,60.47528931,6.924042372,53.31508572,Lentil,
28,70,21,25.39038396,60.4989659,7.437373666,39.18374505,Lentil,
12,71,19,24.91079638,60.71367427,7.142611056,42.19740397,Lentil,
22,68,16,27.70496805,63.20915034,7.74672376,37.46160727,Lentil,
26,66,22,18.06486101,65.1034354,6.300479414,51.54922825,Lentil,
16,65,16,18.13027797,62.45851612,6.078724107,50.6128521,Lentil,
14,59,22,23.82723528,67.89815262,6.76660668,46.90725077,Lentil,
33,59,19,23.19305333,62.74710773,7.641024177,49.55213308,Lentil,
21,63,17,25.08966129,68.17543102,6.559681838,41.45486619,Lentil,
0,69,21,25.86928193,61.88321072,7.072923306,36.68284038,Lentil,
10,75,17,18.43966037,68.05394959,7.732194788,39.00992137,Lentil,
30,61,18,27.14911056,67.02664337,6.157782589,52.50812701,Lentil,
0,74,17,23.33375853,64.50515776,7.240988401,47.01510708,Lentil,
35,74,22,26.7230014,62.96841833,6.898905799,42.87274897,Lentil,
7,63,24,19.55750776,64.45268309,6.818681086,53.04669416,Lentil,
9,56,17,26.13708256,66.7729209,6.261937875,46.48280681,Lentil,
14,74,15,27.99990346,65.57653373,6.493036868,49.94043064,Lentil,
14,76,20,29.05941162,62.10652364,7.042474679,36.5011366,Lentil,"Based on the given environmental conditions (Nitrogen level: 14.0, Phosphorus level: 76.0, Potassium level: 20.0, Temperature: 29.05°C, Humidity: 62.1%, pH value: 7.04, and Rainfall: 36.5 mm) and the context provided, the recommended crops are:

Legumes:

Lentil: The nitrogen, phosphorus, potassium, temperature, and pH values align with the conditions for growing lentils mentioned in the context.
Fibers:

Cotton: The temperature, humidity, and pH values are suitable for growing cotton as per the context.
Grains:

Rice: The nitrogen, phosphorus, potassium, temperature, and pH values are within the range for growing rice mentioned in the context.
The recommended crops cover a diverse range of categories, including legumes (lentil), fibers (cotton), and grains (rice), while considering the given environmental conditions and the context provided. It's important to note that other factors like soil quality, irrigation, and pest management should also be taken into account for successful cultivation."
36,65,16,25.71269843,64.1123333,7.692013657,50.17067771,Lentil,
28,67,21,21.79792649,63.73086065,6.250994223,46.62370222,Lentil,
28,79,16,24.70626432,60.26854183,6.052184881,53.12442925,Lentil,
40,61,22,20.94981756,65.8108757,7.002216044,44.23913012,Lentil,
10,70,19,24.84918386,68.98088448,7.272427638,41.61080544,Lentil,
12,80,19,21.91041045,65.21662467,5.962001484,36.10211371,Lentil,
37,77,20,25.93381964,68.70533022,7.080506001,51.02372773,Lentil,
0,67,22,29.82112112,69.4073209,6.593798387,51.56461082,Lentil,
7,73,25,27.52185591,63.13215259,7.28805662,45.20841071,Lentil,
10,56,18,27.99627907,68.6428593,7.32710972,46.10585191,Lentil,
39,70,15,20.76774783,63.90164154,6.366355781,47.9271552,Lentil,
26,56,22,23.05276444,60.424786,7.011121216,52.60285259,Lentil,
9,77,17,21.65845777,63.58337146,6.280725549,38.07659414,Lentil,
4,59,19,26.25070298,67.62779652,7.621494566,40.8106299,Lentil,
34,73,15,20.97195263,63.83179889,7.630424083,53.10207889,Lentil,
33,77,15,23.89736406,66.32102048,7.802212437,40.74536757,Lentil,
89,47,38,25.52468965,72.24850829,6.002524871,151.8869972,Jute,
60,37,39,26.59104992,82.94164078,6.033485257,161.2469997,Jute,
63,41,45,25.29781791,86.8870535,7.121933579,196.6249511,Jute,
86,40,39,25.72100868,88.16513579,6.207459637,175.6086697,Jute,
96,41,40,23.58419277,72.00460848,6.090060478,190.4242157,Jute,
100,35,36,25.31042337,72.01364411,6.346715209,190.5577618,Jute,
63,37,43,23.41798979,85.08640476,6.661957897,185.7446728,Jute,
70,43,40,24.35564134,88.80391021,6.176860192,169.1168028,Jute,
67,55,44,26.284017,75.14640198,7.251847296,182.2685447,Jute,
74,40,40,25.13842773,83.12053888,6.386259978,169.3388465,Jute,
89,53,44,24.88692811,71.91711523,7.319735475,150.2498675,Jute,
74,46,45,25.75734909,88.36668522,6.025028997,189.4263485,Jute,
89,41,38,23.12844351,74.68322732,6.344751947,199.8362913,Jute,
